date,aqi,hotspot_count,hotspot_count_high,total_frp,mean_frp,max_frp,product,frp_lag1,count_lag1,frp_lag2,count_lag2,frp_lag3,count_lag3,frp_roll3,frp_roll7,aqi_roll3,aqi_roll7,log_frp,log_count,frp_cumsum,aqi_delta,frp_delta,frp_norm,frp_z,aqi_z,fire_cat
2025-09-01,84.875,0,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,84.875,84.875,0.0,0.0,0.0,,,0.0,-0.7261300727547335,-2.014208280664827,None
2025-09-02,61.291666666666664,1,0,1.37,1.37,1.37,VIIRS_SNPP_SP,0.0,0.0,,,,,0.685,0.685,73.08333333333333,73.08333333333333,0.8628899551470398,0.6931471805599453,1.37,-23.583333333333336,1.37,0.000444320481552592,-0.7244132416902926,-2.618298422632381,Low
2025-09-03,62.625,1,0,1.4,1.4,1.4,VIIRS_SNPP_SP,1.37,1.0,0.0,0.0,,,0.9233333333333333,0.9233333333333333,69.59722222222221,69.59722222222221,0.8754687373538999,0.6931471805599453,2.77,1.3333333333333357,0.029999999999999805,0.00045405012713403556,-0.7243756468494655,-2.5841449163727312,Low
2025-09-04,84.8125,5,0,2.74,0.55,0.82,VIIRS_SNPP_SP,1.4,1.0,1.37,1.0,0.0,0.0,1.8366666666666667,1.3775,69.57638888888889,73.40104166666666,1.3190856114264407,1.791759469228055,5.51,22.1875,1.3400000000000003,0.000888640963105184,-0.7226964106258519,-2.015809226270748,Low
2025-09-05,101.04166666666667,0,0,0.0,0.0,0.0,,2.74,5.0,1.4,1.0,1.37,1.0,1.3800000000000001,1.1019999999999999,82.8263888888889,78.92916666666666,0.0,0.0,5.51,16.22916666666667,-2.74,0.0,-0.7261300727547335,-1.6000970172665743,None
2025-09-06,91.52083333333333,2,0,3.1,1.55,1.79,VIIRS_SNPP_SP,0.0,0.0,2.74,5.0,1.4,1.0,1.9466666666666665,1.4349999999999998,92.45833333333333,81.02777777777777,1.410986973710262,1.0986122886681098,8.61,-9.520833333333343,3.1,0.0010053967100825073,-0.7222452725359259,-1.8439743979018857,Low
2025-09-07,104.47916666666667,7,0,6.17,0.88,1.06,VIIRS_SNPP_SP,3.1,2.0,0.0,0.0,2.74,5.0,3.09,2.1114285714285717,99.0138888888889,84.37797619047619,1.969905654611529,2.0794415416798357,14.78,12.958333333333343,3.07,0.002001063774583571,-0.7183980671579455,-1.512045008940915,Low
2025-09-08,103.08333333333333,6,0,14.94,2.49,6.41,VIIRS_SNPP_SP,6.17,7.0,3.1,2.0,0.0,0.0,8.07,4.2457142857142856,99.69444444444444,86.97916666666666,2.768831673362069,1.9459101490553132,29.72,-1.3958333333333428,8.77,0.004845363499558922,-0.7074078420228025,-1.547799460806486,Low
2025-09-09,132.10416666666666,2,0,1.49,0.74,1.17,VIIRS_SNPP_SP,14.94,6.0,6.17,7.0,3.1,2.0,7.533333333333332,4.2628571428571425,113.22222222222221,97.0952380952381,0.9122827104766162,1.0986122886681098,31.209999999999997,29.02083333333333,-13.45,0.0004832390638783664,-0.724262862326984,-0.8044270511237982,Low
2025-09-10,122.58333333333333,1,0,1.28,1.28,1.28,VIIRS_SNPP_SP,1.49,2.0,14.94,6.0,6.17,7.0,5.903333333333333,4.2457142857142856,119.25694444444444,105.66071428571429,0.8241754429663494,0.6931471805599453,32.489999999999995,-9.520833333333329,-0.20999999999999996,0.0004151315448082611,-0.7245260262127742,-1.048304431759109,Low
