location,lat,lon,avg_AQI,pm2_5,pm10,traffic_raw_score,traffic_score_normalized,industrial_raw_count,industrial_score_normalized,vehicular_pct,industrial_pct
Anand Vihar,28.6469,77.316,194.45308219178082,80.31478310502283,199.17309360730593,1014,0.6983471074380165,16,0.8421052631578947,69.83471074380165,84.21052631578947
Connaught Place,28.6304,77.2177,194.45308219178082,80.31478310502283,199.17309360730593,1452,1.0,1,0.05263157894736842,100.0,5.263157894736842
Dwarka,28.5882,77.0494,380.2753424657534,98.7700799086758,401.75230593607307,407,0.2803030303030303,1,0.05263157894736842,28.030303030303028,5.263157894736842
IGI Airport,28.5562,77.1,380.2753424657534,98.7700799086758,401.75230593607307,702,0.4834710743801653,8,0.42105263157894735,48.34710743801653,42.10526315789473
Okhla Phase III,28.5273,77.2618,380.2753424657534,98.7700799086758,401.75230593607307,786,0.5413223140495868,19,1.0,54.132231404958674,100.0
Rohini,28.7041,77.1025,194.45308219178082,80.31478310502283,199.17309360730593,384,0.2644628099173554,4,0.21052631578947367,26.446280991735538,21.052631578947366
